文件名,表名,导入方式,文件类型,分隔符,是否必须,源接口名,目标接口名,场次,配置文件路径,UDS接收目录,,
BOM_ZDPSTRUINFO,CBMS_STRUINF,APPEND,FIXLENGTH,,Y,BOM,MSC,8,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\bom\BOM_ZDPSTRUINFO.xml,/snfs1/F-CBMS/target/MSC/BOM/008/
BRANCH_ADD,CBMS_BRHOPRDATMOV_INFO,APPEND,SEPARATOR,44,N,,MSC,,50,SKIP,D:\config\imp_config\cbms\day\brch_adjust\BRANCH_ADD.xml,/snfs1/F-CBMS/target/MSC///
KFYXBQC,CBMS_BRHOPRDATMOV_INFO,APPEND,FIXLENGTH,,N,,msc,9,50,SKIP,D:\config\imp_config\cbms\day\brch_adjust\KFYXBQC.xml,/snfs1/F-CBMS/target/msc/009/
CAM_COMINGDAY_REPORT,CBMS_POSITION_REPORT_DTL,TRUNCATE,FIXLENGTH,,N,CAM,MSC,30,999999999,SKIP,D:\config\imp_config\cbms\day\cams\CAM_COMINGDAY_REPORT.xml,/snfs1/F-CBMS/target/MSC/CAM/030/
CAM_CONTROL_ACCOUNT,CBMS_SIGN_PAYCONTROL_LIST,TRUNCATE,FIXLENGTH,,N,CAM,MSC,33,999999999,SKIP,D:\config\imp_config\cbms\day\cams\CAM_CONTROL_ACCOUNT.xml,/snfs1/F-CBMS/target/MSC/CAM/033/
CAM_NTHFDSUBDETAIL,CBMS_DEPOSITBUS_IMP,APPEND,FIXLENGTH,,Y,CAM,MSC,50,999999999,SKIP,D:\config\imp_config\cbms\day\cams\CAM_NTHFDSUBDETAIL.xml,/snfs1/F-CBMS/target/MSC/CAM/050/
CAM_OTHBNSUBDETAIL,CBMS_BNSUBDTL_IMP,APPEND,FIXLENGTH,,Y,CAM,MSC,41,50,NOT_SKIP,D:\config\imp_config\cbms\day\cams\CAM_OTHBNSUBDETAIL.xml,/snfs1/F-CBMS/target/MSC/CAM/041/
CAM_OTHBNSUB_DETAIL,CBMS_BNSUBDTL_IMP,APPEND,FIXLENGTH,,Y,CAM,MSC,50,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cams\CAM_OTHBNSUB_DETAIL.xml,/snfs1/F-CBMS/target/MSC/CAM/050/
CAM_OTHCPSUBDETAIL,CBMS_CPSUBDTL_IMP,APPEND,FIXLENGTH,,Y,CAM,MSC,41,50,NOT_SKIP,D:\config\imp_config\cbms\day\cams\CAM_OTHCPSUBDETAIL.xml,/snfs1/F-CBMS/target/MSC/CAM/041/
CAM_OTHCPSUB_DETAIL,CBMS_CPSUBDTL_IMP,APPEND,FIXLENGTH,,Y,CAM,MSC,50,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cams\CAM_OTHCPSUB_DETAIL.xml,/snfs1/F-CBMS/target/MSC/CAM/050/
CAM_PNPROTOCOLQUERY,CBMS_BILLAGREE_DTL,APPEND,FIXLENGTH,,Y,CAM,MSC,50,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cams\CAM_PNPROTOCOLQUERY.xml,/snfs1/F-CBMS/target/MSC/CAM/050/
CAM_POOLPROTOCOLDUEREMIND,CBMS_AGRMATUREM_IMP,APPEND,FIXLENGTH,,Y,CAM,MSC,50,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cams\CAM_POOLPROTOCOLDUEREMIND.xml,/snfs1/F-CBMS/target/MSC/CAM/050/
CAM_POSITION_REPORT,CBMS_POSITION_REPORT_INF,TRUNCATE,FIXLENGTH,,N,CAM,MSC,30,999999999,SKIP,D:\config\imp_config\cbms\day\cams\CAM_POSITION_REPORT.xml,/snfs1/F-CBMS/target/MSC/CAM/030/
CAM_RISK_REPORT,CBMS_RISK_REPORT_INF,TRUNCATE,FIXLENGTH,,N,CAM,MSC,30,999999999,SKIP,D:\config\imp_config\cbms\day\cams\CAM_RISK_REPORT.xml,/snfs1/F-CBMS/target/MSC/CAM/030/
CAP_PRM_PRODUCT,CBMS_PRM_PRODUCT_IMP,TRUNCATE,FIXLENGTH,,Y,IRA,MSC,3,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cap\CAP_PRM_PRODUCT.xml,/snfs1/F-CBMS/target/MSC/IRA/003/
CUST_CAP_TX_INFO,CBMS_CUSTCAP_TX_IMP,APPEND,SEPARATOR,27,Y,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\CUST_CAP_TX_INFO.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD101,CBMS_CCUA_DEPOSIT_INF,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD101.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD102,CBMS_CCUA_MIDBUSINESS_INF,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD102.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD103,CBMS_CCUA_PRODINCOME_INF,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD103.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD104,CBMS_CCUA_HOLDPROD_INF,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD104.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD105,CBMS_CCUA_FUND_INF,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD105.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD106,CBMS_CCUA_NOBLEMETAL_INF,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD106.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD107,CBMS_CA_BENEFIT,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD107.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD108,CBMS_CA_LOAN,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD108.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD109,CBMS_CA_DEPOSIT,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD109.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD110,CBMS_CA_MIDDLE,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD110.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD111,CBMS_CA_TABLEOUT,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD111.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD112,CBMS_CA_BILLDISC,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD112.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD113,CBMS_CA_LOANFORE,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD113.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD114,CBMS_CA_BENEFIT,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD114.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD115,CBMS_CA_LOAN,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD115.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD116,CBMS_CA_DEPOSIT,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD116.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD117,CBMS_CA_MIDDLE,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD117.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD118,CBMS_CA_TABLEOUT,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD118.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD119,CBMS_CA_BILLDISC,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD119.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD120,CBMS_CA_LOANFORE,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD120.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD121,CBMS_CA_BOND,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD121.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD122,CBMS_CA_MONEYMART,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD122.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD123,CBMS_CA_BOND,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD123.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD124,CBMS_CA_MONEYMART,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD124.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD127,CBMS_CCUA_CCRMCUSTSUM_INF,APPEND,SEPARATOR,27,Y,CC2,MSC,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD127.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD128,CBMS_CA_STANDARD,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD128.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD129,CBMS_CCUA_LOANINF,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD129.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD130,CBMS_ZQ_ORDERRESULT_INF,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD130.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD131,CBMS_XT_ORDERRESULT_INF,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD131.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD132,CBMS_ZQ_MAINORG_INF,TRUNCATE,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD132.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD133,CBMS_CCUA_STARCUSTCOUNT,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD133.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD134,CBMS_CCUA_STARCUSTSUM,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD134.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD135,CBMS_CCUA_MAPRODUSEINF,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD135.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD136,CBMS_CCUA_DEPOSIT_INCINF,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD136.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD137,CBMS_CCUA_LOAN_INCINF,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD137.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD138,CBMS_CCUA_INVEST_INCINF,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD138.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD139,CBMS_CCUA_BILL_INCINF,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD139.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD140,CBMS_CCUA_CREDIT_INCINF,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD140.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD141,CBMS_CCUA_CASHPROD_INCINF,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD141.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD142,CBMS_CCUA_MIDPRODPRICEFORE_INF,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD142.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD143,CBMS_CCUA_FLUPRODPRICEFORE_INF,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD143.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD144,CBMS_CCUA_DEPOSITTYPE_PARM,TRUNCATE,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD144.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD146,CBMS_CCUA_LOANAPPARTYPE,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD146.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD147,CBMS_CCUA_DEPOSITAPPARTYPE,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD147.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD148,CBMS_CCUA_MIDDLEAPPARTYPE,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD148.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD149,CBMS_CCUA_TABLEOUTAPPARTYPE,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD149.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD150,CBMS_CCUA_DEPOSITAPPARTYPE,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD150.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD151,CBMS_CCUA_LOANAPPARTYPE,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD151.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
