文件名,表名,导入方式,文件类型,分隔符,是否必须,源接口名,目标接口名,场次,配置文件路径,UDS接收目录,,
CM_PNACCPTBILL,CBMS_BILLREMIND_TMP,APPEND,SEPARATOR,27,Y,CM,MSC,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cm2002\CM_PNACCPTBILL.xml,/snfs1/F-CBMS/target/MSC/CM/002/
CM_PNPLACARDBILL,CBMS_BILLREMIND_TMP,APPEND,SEPARATOR,27,Y,CM,MSC,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cm2002\CM_PNPLACARDBILL.xml,/snfs1/F-CBMS/target/MSC/CM/002/
CM_PNPOOLPROTOCOLDUEREMIND,CBMS_AGRMATUREM_IMP,APPEND,SEPARATOR,27,Y,CM,MSC,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cm2002\CM_PNPOOLPROTOCOLDUEREMIND.xml,/snfs1/F-CBMS/target/MSC/CM/002/
CM_PNPROTOCOLQUERY,CBMS_BILLAGREE_DTL,APPEND,SEPARATOR,27,Y,CM,MSC,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cm2002\CM_PNPROTOCOLQUERY.xml,/snfs1/F-CBMS/target/MSC/CM/002/
CM_PNTA550001SUM0000000000,CBMS_CCUA_ASSETINF_TMP,APPEND,SEPARATOR,27,Y,CM,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\cm2002\CM_PNTA550001SUM.xml,/snfs1/F-CBMS/target/MSC/CM/002/
CM_POOLBUSINESSLIST,CBMS_POOLDISDTL_INF,APPEND,FIXLENGTH,,Y,CM,MSC,1,999999999,SKIP,D:\config\imp_config\cbms\day\cm2002\CM_POOLBUSINESSLIST.xml,/snfs1/F-CBMS/target/MSC/CM/001/
CM_RISK_EVALUATION,CBMS_CCUA_RISK_EVALUATION,APPEND,SEPARATOR,27,N,CM,MSC,1,999999999,SKIP,D:\config\imp_config\cbms\day\cm2002\CM_RISK_EVALUATION.xml,/snfs1/F-CBMS/target/MSC/CM/001/
CM_TOTALCLIENT,CBMS_TOTALCLIENT_TMP,APPEND,FIXLENGTH,,Y,CM,MSC,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cm2002\CM_TOTALCLIENT.xml,/snfs1/F-CBMS/target/MSC/CM/001/
CM_TOTALSTRUCTURE,CBMS_TOTALSTRUCTURE_TMP,APPEND,FIXLENGTH,,Y,CM,MSC,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cm2002\CM_TOTALSTRUCTURE.xml,/snfs1/F-CBMS/target/MSC/CM/001/
CM_ZASSET_INFO,CBMS_CCUA_LOANSORT_DETINF_TMP,APPEND,SEPARATOR,27,Y,CM,MSC,1,999999999,SKIP,D:\config\imp_config\cbms\day\cm2002\CM_ZASSET_INFO.xml,/snfs1/F-CBMS/target/MSC/CM/001/
CM_ZCUST_CREDITGRANTING,CBMS_CCUA_ASSETINF_TMP,APPEND,SEPARATOR,27,Y,CM,MSC,1,999999999,SKIP,D:\config\imp_config\cbms\day\cm2002\CM_ZCUST_CREDITGRANTING.xml,/snfs1/F-CBMS/target/MSC/CM/001/
CM_ZPROD_EXPIRE_REMINDER,CBMS_PRODMAT_IMP,APPEND,SEPARATOR,27,Y,CM,MSC,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cm2002\CM_ZPROD_EXPIRE_REMINDER.xml,/snfs1/F-CBMS/target/MSC/CM/001/
CM_ZSUPP_CUST,CBMS_CCUA_APPLYLINKREL_INF,APPEND,SEPARATOR,27,N,CM,MSC,1,999999999,SKIP,D:\config\imp_config\cbms\day\cm2002\CM_ZSUPP_CUST.xml,/snfs1/F-CBMS/target/MSC/CM/001/
CM_ZSUPP_INFO,CBMS_CCUA_APPLYLINK_INF,APPEND,SEPARATOR,27,N,CM,MSC,1,999999999,SKIP,D:\config\imp_config\cbms\day\cm2002\CM_ZSUPP_INFO.xml,/snfs1/F-CBMS/target/MSC/CM/001/
CM_ZTA200265,CBMS_RISKRESULT_IMP,APPEND,SEPARATOR,27,N,CM,MSC,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cm2002\CM_ZTA200265.xml,/snfs1/F-CBMS/target/MSC/CM/001/
CTA711601,CBMS_CCUA_DEBTINF,APPEND,SEPARATOR,27,Y,CM,MSC,3,999999999,SKIP,D:\config\imp_config\cbms\day\cm2002\CTA711601.xml,/snfs1/F-CBMS/target/MSC/CM/003/
CTA711602,CBMS_CCUA_SAMEBUSINESS_INF,APPEND,SEPARATOR,27,Y,CM,MSC,3,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cm2002\CTA711602.xml,/snfs1/F-CBMS/target/MSC/CM/003/
CTA711603,CBMS_CCUA_DEASSETOINF,APPEND,SEPARATOR,27,Y,CM,MSC,3,999999999,SKIP,D:\config\imp_config\cbms\day\cm2002\CTA711603.xml,/snfs1/F-CBMS/target/MSC/CM/003/
FCM_CPIAOJUCHIBILLINFO,CBMS_BILLREMIND_TMP,APPEND,FIXLENGTH,,Y,CM,MSC,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cm2002\FCM_CPIAOJUCHIBILLINF.xml,/snfs1/F-CBMS/target/MSC/CM/001/
PNCM_ASSET_INFO,CBMS_CCUA_ASSETINF_TMP,APPEND,SEPARATOR,27,Y,CM,MSC,1,999999999,SKIP,D:\config\imp_config\cbms\day\cm2002\PNCM_ASSET_INFO.xml,/snfs1/F-CBMS/target/MSC/CM/001/
PNCM_CUST_INFO,CBMS_CCUA_CUSTBASEINF_TMP,APPEND,SEPARATOR,27,Y,CM,MSC,1,999999999,SKIP,D:\config\imp_config\cbms\day\cm2002\PNCM_CUST_INFO.xml,/snfs1/F-CBMS/target/MSC/CM/001/
POCM_ENTRUSTEDLOAN_INFO,CBMS_CCUA_ENTRUSTLOAN_INF,APPEND,SEPARATOR,27,Y,CM,MSC,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cm2002\POCM_ENTRUSTEDLOAN_INFO.xml,/snfs1/F-CBMS/target/MSC/CM/001/
POCM_EXTERNAL_GUARANTEE,CBMS_CCUA_OFASINF,APPEND,SEPARATOR,27,Y,CM,MSC,1,999999999,SKIP,D:\config\imp_config\cbms\day\cm2002\POCM_EXTERNAL_GUARANTEE.xml,/snfs1/F-CBMS/target/MSC/CM/001/
POCM_GROUP_INFO,CBMS_CCUA_GROUPINF,APPEND,SEPARATOR,27,Y,CM,MSC,1,999999999,SKIP,D:\config\imp_config\cbms\day\cm2002\POCM_GROUP_INFO.xml,/snfs1/F-CBMS/target/MSC/CM/001/
POCM_GUARANTEED_INFO,CBMS_CCUA_ACASINF,APPEND,SEPARATOR,27,Y,CM,MSC,1,999999999,SKIP,D:\config\imp_config\cbms\day\cm2002\POCM_GUARANTEED_INFO.xml,/snfs1/F-CBMS/target/MSC/CM/001/
POCM_THIRDPARTY_CREDITGRANTING,CBMS_CCUA_AC_MONTHINF,APPEND,SEPARATOR,27,N,CM,MSC,1,999999999,SKIP,D:\config\imp_config\cbms\day\cm2002\POCM_THIRDPARTY_CREDITGRANTING.xml,/snfs1/F-CBMS/target/MSC/CM/001/
POTA511208CBMS,CBMS_GRPCLIMEM_LOAN_INF,APPEND,SEPARATOR,27,N,CM,MSC,1,999999999,SKIP,D:\config\imp_config\cbms\day\cm2002\POTA511208CBMS.xml,/snfs1/F-CBMS/target/MSC/CM/001/
POTA511209CBMS,CBMS_GRPCLI_LOAN_INF,APPEND,SEPARATOR,27,N,CM,MSC,1,999999999,SKIP,D:\config\imp_config\cbms\day\cm2002\POTA511209CBMS.xml,/snfs1/F-CBMS/target/MSC/CM/001/
BFHJFXDY,CBMS_POSCON_IMP,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\BFHJFXDY.xml,/snfs1/F-CBMS/target/msc/002/
BFHRSDSC,CBMS_CC_TDCTRADE_DTL,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\BFHRSDSC.xml,/snfs1/F-CBMS/target/msc/002/
BFHSDBRN,CBMS_CC_BCHSDBRND_INF,APPEND,FIXLENGTH,,Y,,msc,2,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\BFHSDBRN.xml,/snfs1/F-CBMS/target/msc/002/
BFHSDMCC,CBMS_CC_BCHSDMCCD_INF,APPEND,FIXLENGTH,,Y,,msc,2,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\BFHSDMCC.xml,/snfs1/F-CBMS/target/msc/002/
BFHSDTYD,CBMS_CC_BCHSDTYDD_INF,APPEND,FIXLENGTH,,Y,,msc,2,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\BFHSDTYD.xml,/snfs1/F-CBMS/target/msc/002/
BFHSDTYG,CBMS_CC_BCHSDTYGD_INF,APPEND,FIXLENGTH,,Y,,msc,2,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\BFHSDTYG.xml,/snfs1/F-CBMS/target/msc/002/
BFHYDMER,CBMS_CC_YDCUST_IMP,APPEND,FIXLENGTH,,Y,,msc,2,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\BFHYDMER.xml,/snfs1/F-CBMS/target/msc/002/
CFED013,CBMS_OTHERCUST_IMP,APPEND,FIXLENGTH,,Y,,msc,1,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\CFED013.xml,/snfs1/F-CBMS/target/msc/001/
CFED040,CBMS_CHKFUND_RET,APPEND,FIXLENGTH,,Y,,msc,1,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\CFED040.xml,/snfs1/F-CBMS/target/msc/001/
CFED041,CBMS_CHKFUND_RET,APPEND,FIXLENGTH,,Y,,msc,1,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\CFED041.xml,/snfs1/F-CBMS/target/msc/001/
CFED077,CBMS_GROUPCUST_RELINF,APPEND,FIXLENGTH,,Y,,msc,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\CFED077.xml,/snfs1/F-CBMS/target/msc/001/
CFED079,CBMS_FCOM_RESULT,APPEND,FIXLENGTH,,Y,,msc,1,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\CFED079.xml,/snfs1/F-CBMS/target/msc/001/
CFED115,CBMS_CUSTGROUP_INF,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\CFED115.xml,/snfs1/F-CBMS/target/msc/002/
CFED116,CBMS_CUSTGROUP_REL,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\CFED116.xml,/snfs1/F-CBMS/target/msc/002/
CFED126,CBMS_NCOMPLETE_CUSTLIST_INF,APPEND,FIXLENGTH,,N,,msc,2,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\CFED126.xml,/snfs1/F-CBMS/target/msc/002/
CFED136,CBMS_ECISDICPAR_IMP,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\CFED136.xml,/snfs1/F-CBMS/target/msc/002/
CFED148,CBMS_B_GROUPREL_IMP,APPEND,FIXLENGTH,,Y,,msc,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\CFED148.xml,/snfs1/F-CBMS/target/msc/001/
CFED184,CBMS_OPEGROUP_IMP,APPEND,FIXLENGTH,,Y,,msc,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\CFED184.xml,/snfs1/F-CBMS/target/msc/001/
CFED225,CBMS_CUSTMOD_IMP,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\CFED225.xml,/snfs1/F-CBMS/target/msc/002/
CFED226,CBMS_BIRTHRMD_IMP,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\CFED226.xml,/snfs1/F-CBMS/target/msc/002/
KFGDDYL,CBMS_AEMS_TRANLIST,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\KFGDDYL.xml,/snfs1/F-CBMS/target/msc/002/
KFGDSTR,CBMS_GOLD_STORAGE,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\KFGDSTR.xml,/snfs1/F-CBMS/target/msc/002/
KFHGBGK,CBMS_METAL_RETSTORAGE,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\KFHGBGK.xml,/snfs1/F-CBMS/target/msc/002/
KFPAHGB,CBMS_AEMS_HGBRSTORAGE_PRM,APPEND,FIXLENGTH,,Y,,msc,2,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\KFPAHGB.xml,/snfs1/F-CBMS/target/msc/002/
KFPRSMRL,CBMS_KFPRSMRL_IMP,TRUNCATE,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\KFPRSMRL.xml,/snfs1/F-CBMS/target/msc/002/
KFRSSBG,CBMS_RETINSTRC_IMP,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\KFRSSBG.xml,/snfs1/F-CBMS/target/msc/002/
NFBBLHQD,CBMS_CPWDBAL_DTL,APPEND,FIXLENGTH,,Y,,msc,2,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\NFBBLHQD.xml,/snfs1/F-CBMS/target/msc/002/
NFBLSTDZ,CBMS_CPWDBUS_DTL,APPEND,FIXLENGTH,,Y,,msc,2,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\NFBLSTDZ.xml,/snfs1/F-CBMS/target/msc/002/
NFBZXXR,CBMS_PCSA_OPECURRINFO,APPEND,FIXLENGTH,,Y,,msc,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFBZXXR.xml,/snfs1/F-CBMS/target/msc/001/
NFCARDTL,CBMS_PAYCARD_SALEINFO,APPEND,FIXLENGTH,,Y,,msc,1,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\NFCARDTL.xml,/snfs1/F-CBMS/target/msc/001/
NFCBMSD,CBMS_AGTRET_IMP,APPEND,FIXLENGTH,,Y,,msc,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFCBMSD.xml,/snfs1/F-CBMS/target/msc/001/
NFCHAUT,CBMS_ACCAUTPEREG_REM_INF,APPEND,FIXLENGTH,,Y,,msc,1,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\NFCHAUT.xml,/snfs1/F-CBMS/target/msc/001/
NFCHLTF,CBMS_CQBDHACCNO_INF,APPEND,FIXLENGTH,,Y,,msc,2,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\NFCHLTF.xml,/snfs1/F-CBMS/target/msc/002/
NFCPCPL,CBMS_CASH_PRODUSE_DTL,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFCPCPL.xml,/snfs1/F-CBMS/target/msc/002/
NFCVBAL,CBMS_SUPRVS_ACCTBAL_INF,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFCVBAL.xml,/snfs1/F-CBMS/target/msc/002/
NFCVDTL,CBMS_SUPRVS_FUND_DTL,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFCVDTL.xml,/snfs1/F-CBMS/target/msc/002/
NFCYZHR,CBMS_AGP_OPEACCOUNTINFO,APPEND,FIXLENGTH,,Y,,msc,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFCYZHR.xml,/snfs1/F-CBMS/target/msc/001/
NFDLCUR,CBMS_ZONE_CURRENCY,APPEND,FIXLENGTH,,Y,,msc,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFDLCUR.xml,/snfs1/F-CBMS/target/msc/001/
NFDRISK,CBMS_OVERDUERMD_IMP,APPEND,FIXLENGTH,,Y,,msc,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFDRISK.xml,/snfs1/F-CBMS/target/msc/001/
NFFAMAN,CBMS_CPJJBUS_DTL,APPEND,FIXLENGTH,,Y,,msc,2,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\NFFAMAN.xml,/snfs1/F-CBMS/target/msc/002/
NFFDDQR,CBMS_PRODMAT_IMP,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFFDDQR.xml,/snfs1/F-CBMS/target/msc/002/
NFFDKHR,CBMS_CUSTACT_IMP,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFFDKHR.xml,/snfs1/F-CBMS/target/msc/002/
NFFEHRU,MSC_BREAKAGR_TMP_INF,APPEND,FIXLENGTH,,Y,,msc,1,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\NFFEHRU.xml,/snfs1/F-CBMS/target/msc/001/
NFFEMRE,MSC_MATUAGR_TMP_INF,APPEND,FIXLENGTH,,Y,,msc,1,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\NFFEMRE.xml,/snfs1/F-CBMS/target/msc/001/
NFFKMSG,CBMS_CASHIMPREMIND_DTL,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFFKMSG.xml,/snfs1/F-CBMS/target/msc/002/
NFFKRZF,CBMS_CPJJUNSUC_DTL,APPEND,FIXLENGTH,,Y,,msc,2,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\NFFKRZF.xml,/snfs1/F-CBMS/target/msc/002/
NFFRDQF,CBMS_AGRMATUREM_IMP,APPEND,FIXLENGTH,,Y,,msc,2,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\NFFRDQF.xml,/snfs1/F-CBMS/target/msc/002/
NFGJDTL,CBMS_SKMAGBUSINESS_DTL,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFGJDTL.xml,/snfs1/F-CBMS/target/msc/002/
NFGNLED,CBMS_NFGNLED_IMP,APPEND,FIXLENGTH,,Y,,msc,1,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\NFGNLED.xml,/snfs1/F-CBMS/target/msc/001/
NFGPDDTL,CBMS_GPACINDTL_DTL,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFGPDDTL.xml,/snfs1/F-CBMS/target/msc/002/
NFGPINF,CBMS_GPACACCLIS_DTL,APPEND,FIXLENGTH,,Y,,msc,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFGPINF.xml,/snfs1/F-CBMS/target/msc/001/
NFGPINT,CBMS_GPACJXLIS_DTL,APPEND,FIXLENGTH,,Y,,msc,1,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\NFGPINT.xml,/snfs1/F-CBMS/target/msc/001/
NFJAMAN,CBMS_CPJJBUS_DTL,APPEND,FIXLENGTH,,Y,,msc,2,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\NFJAMAN.xml,/snfs1/F-CBMS/target/msc/002/
NFJBXXR,CBMS_PCSA_OPEBASEINFO,APPEND,FIXLENGTH,,Y,,msc,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFJBXXR.xml,/snfs1/F-CBMS/target/msc/001/
NFKHCPCZ,CBMS_FPINLIS_DTL,APPEND,FIXLENGTH,,Y,,msc,2,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\NFKHCPCZ.xml,/snfs1/F-CBMS/target/msc/002/
NFKJKGMZ,CBMS_FPAGJXBSUC_DTL,APPEND,FIXLENGTH,,Y,,msc,2,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\NFKJKGMZ.xml,/snfs1/F-CBMS/target/msc/002/
NFLNWAR,CBMS_PRODMAT_IMP,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFLNWAR.xml,/snfs1/F-CBMS/target/msc/002/
NFMNCMR,CBMS_MNGCARDREL_RET_IMP,APPEND,FIXLENGTH,,Y,,msc,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFMNCMR.xml,/snfs1/F-CBMS/target/msc/001/
NFOVQST,CBMS_OVERDRAFT_SET_DTL,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFOVQST.xml,/snfs1/F-CBMS/target/msc/002/
NFOVQUS,CBMS_OVERDRAFT_DTL,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFOVQUS.xml,/snfs1/F-CBMS/target/msc/002/
NFPFEAN,CBMS_CP_ACCNUM_IMP,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFPFEAN.xml,/snfs1/F-CBMS/target/msc/002/
NFPFEGJ,CBMS_CP_CONAMT_IMP,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFPFEGJ.xml,/snfs1/F-CBMS/target/msc/002/
NFPFERT,CBMS_CP_RJTZAMT_IMP,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFPFERT.xml,/snfs1/F-CBMS/target/msc/002/
NFPFEWR,CBMS_CP_WDAVGBAL_IMP,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFPFEWR.xml,/snfs1/F-CBMS/target/msc/002/
NFRSFRP,MSC_CUSTACC_EXCHWARN_TMP,APPEND,FIXLENGTH,,Y,,msc,1,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\NFRSFRP.xml,/snfs1/F-CBMS/target/msc/001/
NFSADSDQ,CBMS_PRODMAT_IMP,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFSADSDQ.xml,/snfs1/F-CBMS/target/msc/002/
NFTOPCPC,CBMS_CPINLIS_DTL,APPEND,FIXLENGTH,,Y,,msc,2,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\NFTOPCPC.xml,/snfs1/F-CBMS/target/msc/002/
NFTOPPL,CBMS_CPAGJXBSUC_DTL,APPEND,FIXLENGTH,,Y,,msc,2,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\NFTOPPL.xml,/snfs1/F-CBMS/target/msc/002/
NFTZLST,CBMS_NFTZLST_IMP,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFTZLST.xml,/snfs1/F-CBMS/target/msc/002/
NFWKFOR,CBMS_SKBUSINESS_DTL,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFWKFOR.xml,/snfs1/F-CBMS/target/msc/002/
NFWKRZF,CBMS_CPJJUNSUC_DTL,APPEND,FIXLENGTH,,Y,,msc,2,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\NFWKRZF.xml,/snfs1/F-CBMS/target/msc/002/
NFZFTRT,CBMS_AGTRET_IMP,APPEND,FIXLENGTH,,Y,,msc,2,50,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFZFTRT.xml,/snfs1/F-CBMS/target/msc/002/
NFZHJBR,CBMS_AGP_OPEBASEINFO,APPEND,FIXLENGTH,,Y,,msc,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFZHJBR.xml,/snfs1/F-CBMS/target/msc/001/
NFZHXXR,CBMS_PCSA_OPEACCOUNTINFO,APPEND,FIXLENGTH,,Y,,msc,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\NFZHXXR.xml,/snfs1/F-CBMS/target/msc/001/
OFBFFNA5,CBMS_FUNDPROD_CTL,APPEND,FIXLENGTH,,Y,,msc,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\OFBFFNA5.xml,/snfs1/F-CBMS/target/msc/001/
OFCAOGN,CBMS_THIRDPARTY_INF,APPEND,FIXLENGTH,,Y,,msc,1,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\OFCAOGN.xml,/snfs1/F-CBMS/target/msc/001/
OFCBPJNL,CBMS_FPPS_BUY_DTL,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\OFCBPJNL.xml,/snfs1/F-CBMS/target/msc/002/
OFCCKINF,CBMS_PROD_STRUDEPS_IMP,APPEND,FIXLENGTH,,Y,,msc,2,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\OFCCKINF.xml,/snfs1/F-CBMS/target/msc/002/
OFCCPDIF,CBMS_FPPS_PROD_DTL,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\OFCCPDIF.xml,/snfs1/F-CBMS/target/msc/002/
OFCIPLTX,CBMS_FPPS_DUEREM_IMP,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\OFCIPLTX.xml,/snfs1/F-CBMS/target/msc/002/
OFCLCCDQ,CBMS_OFCLCCDQ_TMP,APPEND,FIXLENGTH,,Y,,msc,1,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\OFCLCCDQ.xml,/snfs1/F-CBMS/target/msc/001/
OFCSUBCY,CBMS_FPPS_HOLD_DTL,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\OFCSUBCY.xml,/snfs1/F-CBMS/target/msc/002/
OFCYEXY,CBMS_IFIS_SDMA_DTL,APPEND,FIXLENGTH,,Y,,msc,2,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\OFCYEXY.xml,/snfs1/F-CBMS/target/msc/002/
OFCYJMX,CBMS_BARGAINING_RPT_DTL,APPEND,FIXLENGTH,,Y,,msc,1,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\OFCYJMX.xml,/snfs1/F-CBMS/target/msc/001/
OFCZHDZ,CBMS_OFCZHDZ_INF,APPEND,FIXLENGTH,,Y,,msc,1,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\OFCZHDZ.xml,/snfs1/F-CBMS/target/msc/001/
OFFDQQTX,CBMS_PRODMAT_IMP,APPEND,FIXLENGTH,,Y,,msc,2,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\OFFDQQTX.xml,/snfs1/F-CBMS/target/msc/002/
OFGQDCPO,CBMS_PGA_OFGWKCPO_DTL,APPEND,FIXLENGTH,,Y,,msc,2,999999999,SKIP,D:\config\imp_config\cbms\day\corebank1\OFGQDCPO.xml,/snfs1/F-CBMS/target/msc/002/
OFHPAJYP,CBMS_PGA_JYPZ_PARM,APPEND,FIXLENGTH,,Y,,msc,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\corebank1\OFHPAJYP.xml,/snfs1/F-CBMS/target/msc/001/
